Commit SHA,Java File,Old function signature,New function signature
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Category.java,"error(Object message, Throwable t)",error(Object message)
aa26ba12ec328af87609906238e1422e6f0f3ce1,SimpleLogger.java,"trace(String msg, Throwable t)",trace(String msg)
35c4ad8ea1fe7a19c6750727d0ad07e360112afd,LoggerWrapper.java,"LoggerWrapper(Logger logger, String fcqn)",LoggerWrapper(Logger logger)
442e90ba5785cba96a620d0b4fa1f1a6ae267051,Logger.java,"trace(Object message, Throwable t)",trace(Object message)
78883450c0300ac1a53d3f9313fefeb5e6d928ab,ConverterFrame.java,ConverterFrame(Converter parent),ConverterFrame()
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Category.java,"fatal(Object message, Throwable t)",fatal(Object message)
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"trace(Object message, Throwable t)",trace(Object message)
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Level.java,"toLevel(int val, Level defaultLevel)",toLevel(int val)
3cf27a84fe5b7746970314c8c2db37ebd97b84e2,SLF4JBridgeHandler.java,install(SLF4JBridgeHandler handler),install()
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"warn(Object message, Throwable t)",warn(Object message)
aa26ba12ec328af87609906238e1422e6f0f3ce1,SimpleLogger.java,"warn(String msg, Throwable t)",warn(String msg)
aa26ba12ec328af87609906238e1422e6f0f3ce1,SimpleLogger.java,"info(String msg, Throwable t)",info(String msg)
aa26ba12ec328af87609906238e1422e6f0f3ce1,SimpleLogger.java,"debug(String msg, Throwable t)",debug(String msg)
60acabc73d417e9b3fc31898e2d2b0e75cac4215,LoggerFactory.java,emitSubstitureLoggerWarning(List loggerNameList),emitSubstitureLoggerWarning()
5ec3e30cbf1884d587ae51a928f1611fcbc1c062,JDK14LoggerAdapter.java,"log(String callerFQCN, Level level, String msg, Object[] args, Throwable t)","log(String callerFQCN, Level level, String msg, Throwable t)"
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Category.java,"info(Object message, Throwable t)",info(Object message)
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Category.java,"debug(Object message, Throwable t)",debug(Object message)
14ce0a7f2f639703b62d11f8ccf4cd9287a02924,PatternWrapper.java,"PatternWrapper(String index, Pattern pattern)",PatternWrapper(Pattern pattern)
669c550ab8e0e772d44993fc1f3d7fafb12a7d79,Category.java,"warn(Object message, Throwable t)",warn(Object message)
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"error(Object message, Throwable t)",error(Object message)
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"info(Object message, Throwable t)",info(Object message)
aa26ba12ec328af87609906238e1422e6f0f3ce1,SimpleLogger.java,"error(String msg, Throwable t)",error(String msg)
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"debug(Object message, Throwable t)",debug(Object message)
9a7a3a320cfa0c3325d6f08778783c40e0b48f3d,SimpleLog.java,"fatal(Object message, Throwable t)",fatal(Object message)
